age,workclass,education,educationyears,maritalstatus,occupation,relationship,race,sex,hoursperweek,nativecountry,incomeUSD
21,Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,32691
19,Private,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,25,United-States,42796
31,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,38,?,183292
48,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,49291
31,Private,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,43,United-States,31109
53,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,21545
24,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,50,United-States,36484
49,Private,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,40,United-States,40078
25,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,35,United-States,26816
57,Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,40,United-States,59836
53,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,38,United-States,31976
44,Private,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,26595
41,State-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,48577
29,Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,43,United-States,40118
25,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,40,United-States,41714
18,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,30,?,47875
47,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,60,Honduras,144695
50,Federal-gov,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,55,United-States,123893
47,Self-emp-inc,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,60,United-States,32786
43,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,68050
46,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,38617
35,Private,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,40,Puerto-Rico,45529
41,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,48,United-States,48556
30,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,38252
30,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,30820
32,?,7th-8th,4,Married-spouse-absent,?,Not-in-family,White,Male,40,?,21248
48,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,43374
42,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,151317
29,Private,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,58,United-States,22193
36,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,45469
28,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,41766
53,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,111034
49,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,101075
25,?,Some-college,10,Never-married,?,Own-child,White,Male,40,United-States,42975
19,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,32,United-States,41013
31,Private,Bachelors,13,Separated,Sales,Own-child,Black,Female,40,United-States,33571
29,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,70,United-States,190337
23,Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,23773
79,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,20,United-States,49908
27,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,40,Mexico,34334
40,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,47470
67,?,10th,6,Married-civ-spouse,?,Husband,White,Male,2,United-States,40188
18,Private,11th,7,Never-married,Other-service,Own-child,White,Female,22,United-States,44387
31,Local-gov,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,40938
18,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,30,United-States,33856
52,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,40,Cuba,38723
46,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,40,United-States,47834
59,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,21240
44,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,40,United-States,138270
53,Private,HS-grad,9,Divorced,Sales,Own-child,White,Female,35,United-States,37127
49,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,122663
33,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,23141
30,Private,9th,5,Never-married,Sales,Not-in-family,White,Male,40,United-States,27950
43,Federal-gov,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,82184
57,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,27477
37,Private,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,40,United-States,25611
28,Private,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,25,United-States,33165
30,Private,HS-grad,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,35,?,24504
34,Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,155965
29,Local-gov,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,50,United-States,41347
48,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,107751
37,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,125018
48,Private,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,40,England,42836
32,Federal-gov,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,40,United-States,48865
76,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,153930
44,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,87135
47,Self-emp-not-inc,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,32143
20,Private,Some-college,10,Never-married,Tech-support,Own-child,White,Female,40,United-States,33250
29,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,42346
32,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,194491
17,?,10th,6,Never-married,?,Own-child,White,Female,32,United-States,47415
30,Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,21506
31,Local-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,43951
42,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,36279
24,Private,Bachelors,13,Never-married,Sales,Other-relative,White,Male,40,United-States,43800
38,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,162768
56,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,50,Canada,99964
28,Private,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,25,United-States,23604
36,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,40,United-States,35849
53,Private,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,50,United-States,35679
56,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,48692
49,Local-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,126581
55,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,56,United-States,45126
22,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,41,United-States,49389
21,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,40,United-States,48886
40,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,45867
30,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male,40,Germany,37137
29,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,85850
19,Private,Some-college,10,Never-married,Other-service,Own-child,Black,Male,35,United-States,44278
47,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,84898
20,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,28,United-States,33721
31,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,148959
35,?,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,40,United-States,36062
39,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,24146
28,Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female,60,United-States,27642
24,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,40,United-States,33784
38,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States,33264
37,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,29738
46,Private,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,Black,Female,36,United-States,31166
38,Federal-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,Iran,154207
43,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,23228
27,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,United-States,31580
20,Private,Some-college,10,Never-married,Sales,Own-child,White,Male,20,United-States,29232
49,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,United-States,196889
61,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,46378
27,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,40,United-States,28701
19,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,30,Mexico,21684
45,Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,116475
70,Private,Some-college,10,Never-married,Tech-support,Other-relative,White,Male,40,United-States,38263
31,Private,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Female,30,United-States,32750
22,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,24,United-States,49910
36,Private,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,24,United-States,47723
64,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,45801
43,?,Some-college,10,Divorced,?,Not-in-family,White,Female,40,United-States,26514
47,Local-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,38,Mexico,39662
34,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,41549
33,Private,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,40,Philippines,42226
21,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,35,United-States,32763
52,?,HS-grad,9,Divorced,?,Not-in-family,White,Male,45,United-States,84775
48,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,46,United-States,33364
23,Private,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,32933
71,Self-emp-not-inc,Some-college,10,Separated,Sales,Unmarried,Black,Male,2,United-States,44934
29,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,23755
42,Private,Bachelors,13,Separated,Other-service,Other-relative,Black,Male,50,United-States,43799
68,?,1st-4th,2,Divorced,?,Not-in-family,White,Female,20,United-States,36395
25,Private,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,40,United-States,22654
44,Self-emp-inc,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,40,United-States,23688
28,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,40,England,31833
45,Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,90847
36,Private,Some-college,10,Divorced,Other-service,Unmarried,White,Female,40,Mexico,43637
39,Federal-gov,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,42,United-States,28168
46,State-gov,Masters,14,Widowed,Protective-serv,Unmarried,White,Male,40,United-States,34488
18,Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,16,United-States,49562
66,Local-gov,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female,20,United-States,33740
27,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,40,United-States,30738
28,State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,41680
51,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,62418
27,Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,50,United-States,20076
28,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,87226
27,Private,HS-grad,9,Married-spouse-absent,Sales,Unmarried,White,Female,25,United-States,22868
21,Private,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,40,United-States,36096
34,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,23734
18,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,12,United-States,30206
33,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,65,United-States,39286
44,Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,38,United-States,122863
43,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,27771
30,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,45,United-States,35827
40,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,123522
37,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,42,United-States,108141
34,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,40,United-States,31017
41,Self-emp-not-inc,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,20323
53,?,Bachelors,13,Divorced,?,Not-in-family,White,Female,50,United-States,34092
31,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,United-States,21224
58,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,United-States,82421
38,Private,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,28,United-States,43071
24,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,25268
41,Local-gov,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,31937
47,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,45,United-States,31516
41,Federal-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,24,United-States,21264
23,Private,5th-6th,3,Married-civ-spouse,Transport-moving,Other-relative,White,Male,40,Mexico,48433
36,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,21415
40,Federal-gov,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,55,United-States,127944
35,Private,Masters,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,40,United-States,112667
24,Self-emp-not-inc,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,40,United-States,35224
26,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,26561
19,?,HS-grad,9,Never-married,?,Own-child,White,Male,40,Italy,23386
51,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,183691
42,Local-gov,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,44292
37,State-gov,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,35,United-States,49834
18,Private,11th,7,Never-married,Sales,Own-child,White,Female,40,United-States,43073
36,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,Black,Male,36,United-States,95073
35,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,38220
58,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,35,United-States,52771
17,Private,11th,7,Never-married,Sales,Own-child,White,Female,12,United-States,43364
44,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,United-States,20310
37,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,114304
35,Private,Some-college,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,40,United-States,38314
60,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,United-States,29159
54,Self-emp-inc,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,110794
37,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Male,60,United-States,134809
50,Private,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Female,40,United-States,44098
38,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,50,Poland,45432
45,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,22712
25,Private,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,44397
31,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,38814
64,?,1st-4th,2,Divorced,?,Not-in-family,White,Male,40,United-States,35099
90,Private,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,40,United-States,36040
54,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,20,United-States,21508
53,Local-gov,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,35,United-States,45346
18,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,40,United-States,31226
60,?,10th,6,Divorced,?,Not-in-family,Amer-Indian-Eskimo,Female,10,United-States,45676
66,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,43798
75,Private,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,White,Female,20,Columbia,47507
65,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,38622
35,Private,11th,7,Separated,Transport-moving,Not-in-family,Black,Male,40,United-States,48607
41,Private,HS-grad,9,Divorced,Sales,Unmarried,Black,Female,38,United-States,36081
25,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,42,United-States,35843
33,Private,Some-college,10,Divorced,Craft-repair,Other-relative,Other,Female,40,United-States,25168
28,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,55,United-States,121332
59,State-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,40482
40,State-gov,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,38,United-States,21192
41,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,Iran,54028
38,Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,United-States,80034
23,Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,40,United-States,42661
40,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,74382
41,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,20,United-States,26824
24,State-gov,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,50,United-States,35802
20,?,Some-college,10,Never-married,?,Own-child,White,Male,20,United-States,37199
38,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,31777
56,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,35,?,26827
58,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,United-States,97244
32,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,34,United-States,37031
40,Private,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,60,United-States,76413
